scenario,method,seed,success,planning_time,first_solution_iteration,node_count,path_length
hybrid_single_blocker,RRT*,0,1,2.6981399059295654,213,310,158.5656838898842
hybrid_single_blocker,GoalBias,0,1,1.1054801940917969,91,162,134.2447473574979
hybrid_single_blocker,Hybrid,0,1,0.44315195083618164,38,81,138.67557857572393
hybrid_single_blocker,RRT*,1,1,5.679622173309326,507,576,178.4067191184156
hybrid_single_blocker,GoalBias,1,1,1.3955161571502686,121,197,135.40623287740064
hybrid_single_blocker,Hybrid,1,1,0.7263200283050537,40,94,140.76867764867666
hybrid_single_blocker,RRT*,2,1,3.689936876296997,322,405,174.53578199409785
hybrid_single_blocker,GoalBias,2,1,0.9720942974090576,60,139,123.82930642947024
hybrid_single_blocker,Hybrid,2,1,0.7347300052642822,69,96,154.63780103330407
hybrid_single_blocker,RRT*,3,1,5.844786882400513,481,564,161.76639817640833
hybrid_single_blocker,GoalBias,3,1,1.2381341457366943,104,164,152.35852174107097
hybrid_single_blocker,Hybrid,3,1,0.5541331768035889,34,88,147.53132580002014
hybrid_single_blocker,RRT*,4,1,4.443503141403198,390,428,154.58101414516227
hybrid_single_blocker,GoalBias,4,1,1.4227309226989746,81,169,119.24803952033523
hybrid_single_blocker,Hybrid,4,1,0.44417691230773926,36,89,127.3959510324357
hybrid_single_blocker,RRT*,5,1,5.485162019729614,501,578,164.73500219859545
hybrid_single_blocker,GoalBias,5,1,6.83182430267334,539,597,171.5061046100599
hybrid_single_blocker,Hybrid,5,1,0.8131170272827148,97,114,169.24717080096573
hybrid_single_blocker,RRT*,6,1,2.427743911743164,202,292,145.5313532245263
hybrid_single_blocker,GoalBias,6,1,0.9908506870269775,47,136,119.8418831055366
hybrid_single_blocker,Hybrid,6,1,0.54575514793396,49,100,151.80053143479088
hybrid_single_blocker,RRT*,7,1,1.9500579833984375,164,259,124.22062653754723
hybrid_single_blocker,GoalBias,7,1,0.9773068428039551,42,119,139.8845407683317
hybrid_single_blocker,Hybrid,7,1,0.4232523441314697,31,75,109.78078937419933
hybrid_single_blocker,RRT*,8,1,2.0317039489746094,169,242,142.45048339731673
hybrid_single_blocker,GoalBias,8,1,0.8098139762878418,48,125,108.42696722855489
hybrid_single_blocker,Hybrid,8,1,2.1675710678100586,103,151,127.08362182062812
hybrid_single_blocker,RRT*,9,1,3.029261827468872,254,349,121.5610201479369
hybrid_single_blocker,GoalBias,9,1,0.7906849384307861,46,116,119.98205715244116
hybrid_single_blocker,Hybrid,9,1,0.5294651985168457,42,84,148.410015196874
hybrid_single_blocker,RRT*,10,1,1.1127429008483887,51,155,118.18829641568027
hybrid_single_blocker,GoalBias,10,1,1.247148036956787,85,147,136.2451030872078
hybrid_single_blocker,Hybrid,10,1,0.756382942199707,56,102,133.4879833659749
hybrid_single_blocker,RRT*,11,1,1.9394161701202393,168,234,123.34721827734113
hybrid_single_blocker,GoalBias,11,1,1.0999200344085693,75,156,174.89867727524012
hybrid_single_blocker,Hybrid,11,1,0.8297600746154785,78,124,167.8591410507376
hybrid_single_blocker,RRT*,12,1,2.7609379291534424,277,339,159.235119352892
hybrid_single_blocker,GoalBias,12,1,1.433440923690796,146,178,116.26198889451676
hybrid_single_blocker,Hybrid,12,1,1.2219250202178955,89,135,167.7557180932572
hybrid_single_blocker,RRT*,13,1,9.07070779800415,763,820,139.45128726821392
hybrid_single_blocker,GoalBias,13,1,1.0392920970916748,62,146,169.61271648686605
hybrid_single_blocker,Hybrid,13,1,0.6073369979858398,59,110,156.6065515267525
hybrid_single_blocker,RRT*,14,1,1.9430251121520996,111,216,123.91809062811592
hybrid_single_blocker,GoalBias,14,1,1.016077995300293,54,124,147.42268527230257
hybrid_single_blocker,Hybrid,14,1,0.6641149520874023,59,99,173.2124001336894
hybrid_single_blocker,RRT*,15,1,1.3648838996887207,104,204,121.56973275481289
hybrid_single_blocker,GoalBias,15,1,1.5606842041015625,145,205,148.65079204635538
hybrid_single_blocker,Hybrid,15,1,0.5801639556884766,53,96,125.68418597111166
hybrid_single_blocker,RRT*,16,1,2.6964681148529053,243,320,136.54285892164876
hybrid_single_blocker,GoalBias,16,1,0.8704183101654053,38,114,118.6028822987832
hybrid_single_blocker,Hybrid,16,1,0.409837007522583,45,84,159.29911918810677
hybrid_single_blocker,RRT*,17,1,3.602753162384033,331,409,165.24548506218912
hybrid_single_blocker,GoalBias,17,1,0.901005744934082,77,139,166.99707551158966
hybrid_single_blocker,Hybrid,17,1,0.5219910144805908,56,97,127.1001432833845
hybrid_single_blocker,RRT*,18,1,3.765803813934326,354,422,159.5029108536887
hybrid_single_blocker,GoalBias,18,1,2.434577703475952,245,309,150.2913919865213
hybrid_single_blocker,Hybrid,18,1,0.6818249225616455,61,107,153.72315776169853
hybrid_single_blocker,RRT*,19,1,4.533117055892944,368,410,123.0731022176115
hybrid_single_blocker,GoalBias,19,1,1.9616870880126953,218,226,140.51268316446743
