config,trial,success,path_length,planning_time,num_nodes,num_iterations
Baseline,1,True,26.577692137453223,0.424793004989624,227,51
Baseline,2,True,35.13315380523161,0.484788179397583,256,73
Baseline,3,True,36.5946100807811,0.4619569778442383,254,44
Baseline,4,True,31.46530993631167,0.49658799171447754,243,48
Baseline,5,True,38.25081156505059,0.670543909072876,271,66
Baseline,6,True,53.36088430775522,0.5083959102630615,287,102
Baseline,7,True,31.227054802905382,0.43901515007019043,248,70
Baseline,8,True,31.98134895494963,0.4658069610595703,241,56
Baseline,9,True,28.71051944615491,0.6996500492095947,330,189
Baseline,10,True,43.7064611806703,0.6113443374633789,310,146
Baseline,11,True,31.599665722634224,0.3959660530090332,242,76
Baseline,12,True,33.42185322095215,0.5203068256378174,261,95
Baseline,13,True,42.66235153879167,0.434952974319458,237,48
Baseline,14,True,42.69821824775747,0.4138448238372803,240,69
Baseline,15,True,39.70590318582565,0.432373046875,250,35
Baseline,16,True,64.01201912464357,0.5834641456604004,272,102
Baseline,17,True,44.55289086279715,0.36397314071655273,216,39
Baseline,18,True,34.639247751963566,0.5370700359344482,281,85
Baseline,19,True,30.898683201964435,0.375324010848999,212,35
Baseline,20,True,31.84331701781387,0.6660001277923584,326,178
Baseline,21,True,37.154896688684964,0.6089370250701904,266,72
Baseline,22,True,34.52039614599969,0.5724139213562012,294,111
Baseline,23,True,50.98310111896229,0.8163759708404541,347,224
Baseline,24,True,34.071146112529455,0.447645902633667,235,64
Baseline,25,True,31.38479526215744,1.000607967376709,388,292
Baseline,26,True,45.39417549582272,0.5067408084869385,259,61
Baseline,27,True,33.74680970645239,0.39446425437927246,234,52
Baseline,28,True,40.3079762718691,0.36301398277282715,218,47
Baseline,29,True,28.060825189041193,0.49079298973083496,263,94
Baseline,30,True,31.008009785091247,0.43226003646850586,231,69
Baseline,31,True,44.862514768420745,0.3935718536376953,225,50
Baseline,32,True,49.99466069013001,0.8845510482788086,358,196
Baseline,33,True,37.06353343960989,0.40725111961364746,217,66
Baseline,34,True,38.601293796171554,0.5596380233764648,275,63
Baseline,35,True,57.38213949003103,0.48427700996398926,258,63
Baseline,36,True,46.13729846512263,0.5820779800415039,287,105
Baseline,37,True,35.05879190984945,0.5467100143432617,279,82
Baseline,38,True,40.85518105563825,0.5384430885314941,282,90
Baseline,39,True,52.17405901858372,0.4437069892883301,255,73
Baseline,40,True,41.74835483297357,0.576927900314331,280,96
Baseline,41,True,35.57791805279843,0.5932352542877197,289,143
Baseline,42,True,36.96281652508138,0.4136040210723877,236,48
Baseline,43,True,26.372494541708566,0.527512788772583,289,122
Baseline,44,True,37.5523989704707,0.3659992218017578,224,46
Baseline,45,True,41.54970822317057,0.6938958168029785,325,135
Baseline,46,True,47.411306003227445,0.7183880805969238,325,139
Baseline,47,True,27.383167955336848,0.6183710098266602,290,118
Baseline,48,True,33.847767878735894,0.46358799934387207,260,91
Baseline,49,True,30.321357851918954,0.4950718879699707,264,96
Baseline,50,True,65.16226847424981,0.5978312492370605,302,142
GoalBias,1,True,30.634414822460393,0.7173588275909424,238,29
GoalBias,2,True,29.722697915705023,0.30962610244750977,193,26
GoalBias,3,True,42.3264136182452,0.49329686164855957,214,38
GoalBias,4,True,36.22853860926957,0.881169319152832,266,52
GoalBias,5,True,36.123498741633,0.45490312576293945,243,38
GoalBias,6,True,40.06389731246882,0.3875741958618164,214,30
GoalBias,7,True,29.999999999999986,0.2999260425567627,171,40
GoalBias,8,True,37.40567454325846,0.3751182556152344,197,34
GoalBias,9,True,43.25092890955564,0.5372252464294434,243,31
GoalBias,10,True,35.693552013795916,0.8942530155181885,225,20
GoalBias,11,True,34.031723884912104,0.8065240383148193,249,17
GoalBias,12,True,37.651835027221885,0.2524149417877197,166,15
GoalBias,13,True,40.346753691773024,0.3463118076324463,256,29
GoalBias,14,True,27.706792190887363,0.36297106742858887,214,52
GoalBias,15,True,38.388325115837546,0.27164697647094727,176,18
GoalBias,16,True,41.78081862407099,0.48473405838012695,219,23
GoalBias,17,True,35.13755362870273,0.6761641502380371,225,34
GoalBias,18,True,34.44470091976749,0.30135416984558105,191,31
GoalBias,19,True,37.63263352286715,0.32442522048950195,182,40
GoalBias,20,True,35.14895789228813,0.4337799549102783,253,51
GoalBias,21,True,47.9414756051661,0.4057459831237793,242,22
GoalBias,22,True,34.519618301865314,0.9653210639953613,254,43
GoalBias,23,True,58.34915185406316,0.7570838928222656,333,175
GoalBias,24,True,39.52049614706992,0.31044983863830566,176,18
GoalBias,25,True,35.13454077622493,0.3379228115081787,187,26
GoalBias,26,True,32.94075326224299,0.26717686653137207,173,35
GoalBias,27,True,37.24131985705553,0.4041740894317627,217,41
GoalBias,28,True,38.75596367487622,0.3109748363494873,195,32
GoalBias,29,True,34.02548462817437,0.6403930187225342,257,74
GoalBias,30,True,34.56244767199053,0.38511109352111816,244,59
GoalBias,31,True,43.485363828684655,0.5757911205291748,245,71
GoalBias,32,True,40.853694210220446,0.28305792808532715,177,28
GoalBias,33,True,36.77125537855741,0.6075670719146729,236,32
GoalBias,34,True,37.159552788576526,0.2509031295776367,181,26
GoalBias,35,True,42.473616595148364,0.26338720321655273,172,23
GoalBias,36,True,33.33276744563104,0.575343132019043,236,23
