pair_id,start_index,goal_index,seed,config_name,success,start_x,start_y,start_yaw,goal_x,goal_y,goal_yaw,planning_time,path_length,num_nodes,first_solution_iter,num_path_points,error
0,0,0,1194304222,Baseline,True,14.053092919757557,6.592797899411041,0.5324571382750047,43.536932303325806,23.965337940458376,0.5324571382750047,1.450506875058636,44.13058006841992,324,321,505,
0,0,0,1194304222,GoalBias,True,14.053092919757557,6.592797899411041,0.5324571382750047,43.536932303325806,23.965337940458376,0.5324571382750047,0.5929432909470052,54.08983477606989,141,389,672,
0,0,0,1194304222,GoalBias+Tangent,True,14.053092919757557,6.592797899411041,0.5324571382750047,43.536932303325806,23.965337940458376,0.5324571382750047,0.30512162495870143,54.44079686368946,93,101,682,
1,0,1,104593194,Baseline,True,14.053092919757557,6.592797899411041,0.7532717278778671,36.52479356325202,27.66510336305589,0.7532717278778671,1.1146280829561874,51.66879293339089,262,171,628,
1,0,1,104593194,GoalBias,True,14.053092919757557,6.592797899411041,0.7532717278778671,36.52479356325202,27.66510336305589,0.7532717278778671,1.6019967090105638,52.27274318144419,303,167,631,
1,0,1,104593194,GoalBias+Tangent,True,14.053092919757557,6.592797899411041,0.7532717278778671,36.52479356325202,27.66510336305589,0.7532717278778671,0.31625458400230855,60.216349355368806,104,160,765,
2,0,2,846995755,Baseline,True,14.053092919757557,6.592797899411041,0.8436255124552225,27.049089991906214,21.197743441899785,0.8436255124552225,0.9997872500680387,42.88471283504877,235,159,460,
2,0,2,846995755,GoalBias,True,14.053092919757557,6.592797899411041,0.8436255124552225,27.049089991906214,21.197743441899785,0.8436255124552225,1.0821551670087501,24.05723962745019,147,66,306,
2,0,2,846995755,GoalBias+Tangent,True,14.053092919757557,6.592797899411041,0.8436255124552225,27.049089991906214,21.197743441899785,0.8436255124552225,0.26620399998500943,32.95270387771379,89,63,419,
3,0,3,1117726169,Baseline,True,14.053092919757557,6.592797899411041,0.9560576682757747,28.33769613415263,26.826067642436417,0.9560576682757747,1.1846532500348985,34.161687427319876,269,209,428,
3,0,3,1117726169,GoalBias,True,14.053092919757557,6.592797899411041,0.9560576682757747,28.33769613415263,26.826067642436417,0.9560576682757747,0.3220025410410017,37.87041915776143,91,136,482,
3,0,3,1117726169,GoalBias+Tangent,True,14.053092919757557,6.592797899411041,0.9560576682757747,28.33769613415263,26.826067642436417,0.9560576682757747,0.4702033329522237,41.52857553949331,117,229,517,
4,0,4,1280565578,Baseline,True,14.053092919757557,6.592797899411041,0.9532612576050346,25.79721209379483,23.129285095962924,0.9532612576050346,0.6299687079153955,28.74715633893354,160,13,365,
4,0,4,1280565578,GoalBias,True,14.053092919757557,6.592797899411041,0.9532612576050346,25.79721209379483,23.129285095962924,0.9532612576050346,1.7678660420933738,25.72024544811631,279,143,327,
4,0,4,1280565578,GoalBias+Tangent,True,14.053092919757557,6.592797899411041,0.9532612576050346,25.79721209379483,23.129285095962924,0.9532612576050346,0.23616149998269975,43.120780678964664,95,37,546,
