config_name,goal_probability,tangent_probability,adaptive_sampling_probabilities,total_pairs,success_count,failure_count,success_rate,mean_time_all,std_time_all,mean_time_success,std_time_success,mean_path_length,std_path_length,mean_nodes_all,mean_nodes_success,mean_first_solution_iter,std_first_solution_iter
Baseline,0.0,0.0,False,100,100,0,1.0,1.1320926703861915,0.443231553728684,1.1320926703861915,0.443231553728684,45.96676446552487,10.877509064358405,255.15,255.15,182.1,109.98249860773304
GoalBias,0.2,0.0,False,100,100,0,1.0,1.5257513682567514,1.945909089923905,1.5257513682567514,1.945909089923905,44.484992980341815,10.330383077727866,193.19,193.19,190.83,164.97660773576357
GoalBias+Tangent,0.2,0.1,False,100,100,0,1.0,0.4762107133108657,0.2826253276613079,0.4762107133108657,0.2826253276613079,50.70463149248119,10.606587105994523,124.81,124.81,206.11,183.39432352174916
