地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
map_0002_seed_7002187067904103436,1,GoalBias,50,100.0,34.41,3.93,0.333,0.134,244,19
map_0002_seed_7002187067904103436,1,GoalBias+Tangent,50,100.0,39.57,4.48,0.273,0.039,249,19
map_0002_seed_7002187067904103436,2,Baseline,50,100.0,32.62,5.59,0.323,0.038,273,33
map_0002_seed_7002187067904103436,2,GoalBias,50,100.0,30.64,3.49,0.331,0.087,251,20
map_0002_seed_7002187067904103436,2,GoalBias+Tangent,50,100.0,35.37,4.97,0.252,0.024,239,20
map_0002_seed_7002187067904103436,3,Baseline,50,100.0,34.54,6.73,0.303,0.022,267,19
map_0002_seed_7002187067904103436,3,GoalBias,50,100.0,32.35,4.88,0.278,0.103,231,13
map_0002_seed_7002187067904103436,3,GoalBias+Tangent,50,100.0,37.08,5.21,0.270,0.044,246,13
map_0002_seed_7002187067904103436,4,Baseline,50,100.0,40.76,4.53,0.332,0.035,280,44
map_0002_seed_7002187067904103436,4,GoalBias,50,100.0,41.05,4.24,0.334,0.111,253,29
map_0002_seed_7002187067904103436,4,GoalBias+Tangent,50,100.0,45.55,4.34,0.260,0.032,248,29
map_0002_seed_7002187067904103436,5,Baseline,50,100.0,38.94,6.27,0.317,0.026,275,29
map_0002_seed_7002187067904103436,5,GoalBias,50,100.0,35.95,4.47,0.328,0.131,249,22
map_0002_seed_7002187067904103436,5,GoalBias+Tangent,50,100.0,42.00,4.78,0.278,0.034,254,22
map_0002_seed_7002187067904103436,6,Baseline,50,100.0,41.11,4.85,0.333,0.030,280,39
map_0002_seed_7002187067904103436,6,GoalBias,50,100.0,39.46,4.21,0.329,0.093,251,28
map_0002_seed_7002187067904103436,6,GoalBias+Tangent,50,100.0,44.25,4.90,0.271,0.033,251,28
map_0002_seed_7002187067904103436,7,Baseline,50,100.0,31.55,5.52,0.331,0.030,278,33
map_0002_seed_7002187067904103436,7,GoalBias,50,100.0,30.45,4.73,0.315,0.125,243,25
map_0002_seed_7002187067904103436,7,GoalBias+Tangent,50,100.0,34.96,5.00,0.278,0.035,253,25
map_0002_seed_7002187067904103436,8,Baseline,50,100.0,34.78,6.04,0.327,0.035,281,39
map_0002_seed_7002187067904103436,8,GoalBias,50,100.0,32.49,5.15,0.341,0.092,258,32
map_0002_seed_7002187067904103436,8,GoalBias+Tangent,50,100.0,37.59,5.63,0.277,0.037,255,32
map_0002_seed_7002187067904103436,9,Baseline,50,100.0,40.41,6.14,0.336,0.029,285,41
map_0002_seed_7002187067904103436,9,GoalBias,50,100.0,38.56,3.95,0.343,0.146,247,29
map_0002_seed_7002187067904103436,9,GoalBias+Tangent,50,100.0,44.43,5.11,0.286,0.032,258,29
