场景,地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
density_low,map_0001_seed_8840962239518663710,2,GoalBias+Tangent,50,100.0,41.41,4.33,0.270,0.043,247,29
density_low,map_0001_seed_8840962239518663710,3,Baseline,50,100.0,37.22,6.61,0.358,0.042,285,44
density_low,map_0001_seed_8840962239518663710,3,GoalBias,50,100.0,34.19,5.09,0.388,0.116,262,27
density_low,map_0001_seed_8840962239518663710,3,GoalBias+Tangent,50,100.0,39.45,5.17,0.295,0.037,256,27
density_low,map_0001_seed_8840962239518663710,4,Baseline,50,100.0,32.39,5.89,0.356,0.052,282,39
density_low,map_0001_seed_8840962239518663710,4,GoalBias,50,100.0,29.58,4.27,0.311,0.121,245,20
density_low,map_0001_seed_8840962239518663710,4,GoalBias+Tangent,50,100.0,34.42,4.01,0.271,0.032,250,20
density_low,map_0001_seed_8840962239518663710,5,Baseline,50,100.0,37.43,6.05,0.346,0.040,288,45
density_low,map_0001_seed_8840962239518663710,5,GoalBias,50,100.0,36.19,5.35,0.311,0.084,250,24
density_low,map_0001_seed_8840962239518663710,5,GoalBias+Tangent,50,100.0,40.34,4.74,0.264,0.029,248,24
density_low,map_0001_seed_8840962239518663710,6,Baseline,50,100.0,30.42,4.07,0.350,0.036,288,41
density_low,map_0001_seed_8840962239518663710,6,GoalBias,50,100.0,29.73,3.07,0.365,0.116,262,28
density_low,map_0001_seed_8840962239518663710,6,GoalBias+Tangent,50,100.0,35.79,5.65,0.282,0.058,256,28
density_low,map_0001_seed_8840962239518663710,7,Baseline,50,100.0,35.00,3.73,0.350,0.044,288,45
density_low,map_0001_seed_8840962239518663710,7,GoalBias,50,100.0,34.49,5.71,0.318,0.076,256,31
density_low,map_0001_seed_8840962239518663710,7,GoalBias+Tangent,50,100.0,39.13,4.70,0.281,0.037,257,31
density_low,map_0001_seed_8840962239518663710,8,Baseline,50,100.0,40.84,5.12,0.355,0.041,291,49
density_low,map_0001_seed_8840962239518663710,8,GoalBias,50,100.0,37.59,4.18,0.365,0.120,263,38
density_low,map_0001_seed_8840962239518663710,8,GoalBias+Tangent,50,100.0,42.49,4.41,0.282,0.029,259,38
density_low,map_0001_seed_8840962239518663710,9,Baseline,50,100.0,38.27,6.15,0.350,0.037,287,44
density_low,map_0001_seed_8840962239518663710,9,GoalBias,50,100.0,36.78,5.34,0.368,0.133,260,37
density_low,map_0001_seed_8840962239518663710,9,GoalBias+Tangent,50,100.0,41.95,5.26,0.306,0.054,259,37
density_low,map_0002_seed_7002187067904103436,0,Baseline,50,100.0,37.16,4.73,0.345,0.035,280,41
density_low,map_0002_seed_7002187067904103436,0,GoalBias,50,100.0,36.91,3.89,0.345,0.104,255,26
density_low,map_0002_seed_7002187067904103436,0,GoalBias+Tangent,50,100.0,41.90,4.79,0.278,0.032,251,26
density_low,map_0002_seed_7002187067904103436,1,Baseline,50,100.0,38.08,5.33,0.334,0.036,277,30
density_low,map_0002_seed_7002187067904103436,1,GoalBias,50,100.0,34.41,3.93,0.333,0.134,244,19
density_low,map_0002_seed_7002187067904103436,1,GoalBias+Tangent,50,100.0,39.57,4.48,0.273,0.039,249,19
density_low,map_0002_seed_7002187067904103436,2,Baseline,50,100.0,32.62,5.59,0.323,0.038,273,33
density_low,map_0002_seed_7002187067904103436,2,GoalBias,50,100.0,30.64,3.49,0.331,0.087,251,20
density_low,map_0002_seed_7002187067904103436,2,GoalBias+Tangent,50,100.0,35.37,4.97,0.252,0.024,239,20
density_low,map_0002_seed_7002187067904103436,3,Baseline,50,100.0,34.54,6.73,0.303,0.022,267,19
density_low,map_0002_seed_7002187067904103436,3,GoalBias,50,100.0,32.35,4.88,0.278,0.103,231,13
density_low,map_0002_seed_7002187067904103436,3,GoalBias+Tangent,50,100.0,37.08,5.21,0.270,0.044,246,13
density_low,map_0002_seed_7002187067904103436,4,Baseline,50,100.0,40.76,4.53,0.332,0.035,280,44
density_low,map_0002_seed_7002187067904103436,4,GoalBias,50,100.0,41.05,4.24,0.334,0.111,253,29
density_low,map_0002_seed_7002187067904103436,4,GoalBias+Tangent,50,100.0,45.55,4.34,0.260,0.032,248,29
density_low,map_0002_seed_7002187067904103436,5,Baseline,50,100.0,38.94,6.27,0.317,0.026,275,29
