gap_width,method,trials,success_rate_percent,mean_planning_time,std_planning_time,median_planning_time,mean_first_solution_iteration,std_first_solution_iteration,median_first_solution_iteration,mean_node_count,std_node_count,median_node_count,mean_path_length,std_path_length,median_path_length
2.5,RRT*,50,96.0,15.881584495306015,8.380750872241466,14.131006479263306,630.5,270.1269992886325,552.0,501.5833333333333,163.95962571696796,472.5,180.26806827078087,39.2549345358308,188.37123755010577
2.5,GoalBias,50,96.0,15.753010039528212,9.178060091053654,16.228551506996155,728.7708333333334,347.34704208017087,776.0,450.6666666666667,164.92297793964997,464.5,183.79733637770764,34.09641314834256,188.0499501473783
2.5,Hybrid,50,94.0,29.914583657650237,34.67191396511722,18.337829113006592,625.3404255319149,324.1160739877094,579.0,420.9148936170213,173.4471263610995,405.0,182.79854168275207,36.30657114088342,189.69390234246308
3.5,RRT*,50,98.0,14.292644924047043,6.909805059787088,14.083673000335693,600.1632653061224,269.14543365210994,571.0,479.3673469387755,145.65208172753532,475.0,178.68720151995313,40.29901876549951,183.765263809941
3.5,GoalBias,50,100.0,11.125792269706727,9.139397714061085,8.108561992645264,516.06,416.83958692102385,392.0,352.94,201.1198657720397,292.5,161.37241731529457,39.62793435648769,154.91817836940322
3.5,Hybrid,50,98.0,17.912900832234598,35.428175441167184,8.166626930236816,334.3673469387755,255.15711612958128,249.0,271.51020408163265,164.82606014232343,227.0,152.20532427215193,32.63919026413523,148.98768601416978
4.5,RRT*,50,100.0,12.687998037338257,5.973428070656709,12.486233949661255,536.88,236.8035989798211,506.5,461.34,150.7712972738268,452.0,168.06527571977685,35.54866748858802,158.7300476383603
4.5,GoalBias,50,100.0,7.526139063835144,5.767738710021492,6.703097462654114,374.92,335.9868097508154,288.0,283.54,152.10927999706163,278.5,155.4975517307017,37.30000701410293,146.56318903166346
4.5,Hybrid,50,100.0,13.808546762466431,28.201078831291984,6.562003493309021,308.78,226.06747141650666,235.0,257.14,148.15229478134853,231.5,155.5325486061961,32.20272629446405,146.11796811701376
5.5,RRT*,50,98.0,13.340704207517662,7.018385484054589,12.091294050216675,547.734693877551,273.40429278437665,494.0,477.2857142857143,178.42155138883868,460.0,161.8470041412163,36.678908678297496,159.3097091182483
5.5,GoalBias,50,100.0,6.186841444969177,6.206084282141507,5.573401093482971,273.88,260.4944779860496,251.0,239.16,127.01797398118785,250.5,142.08035445660798,32.985611301632254,133.21824863433045
5.5,Hybrid,50,100.0,13.845385665893554,28.12388705833843,6.683415532112122,296.28,254.9816351930356,249.0,252.18,164.60350505852244,209.5,151.70709241826185,32.322745382211046,149.72984870575152
7.0,RRT*,50,100.0,12.125804495811462,5.000901435967818,11.058934926986694,482.9,191.6942985110216,454.0,455.1,144.58106263777904,428.0,156.32938661448736,32.91253287823116,147.1680750963214
7.0,GoalBias,50,100.0,4.3159821462631225,2.937663723094124,2.6354376077651978,181.86,177.75631221031855,74.0,192.4,83.5710622702595,143.0,142.38934911761214,31.956356925402755,136.69800969673014
7.0,Hybrid,50,98.0,7.668174218158333,10.656350520529559,3.6597800254821777,216.91836734693877,197.7055719935048,140.0,201.42857142857142,120.28767601047083,165.0,145.26742091878347,32.942870171773315,141.4671428349587
