experiment,level,map_seed,planner_seed,method,variant,success,planning_time,first_solution_iteration,node_count,path_length,reverse_length,switch_count
sensitivity,rectangle_probability=0.15,0,6,Hybrid,rectangle_probability,1,2.230808973312378,82,137,156.43649674433829,0.0,0
sensitivity,rectangle_probability=0.15,0,3,Hybrid,rectangle_probability,1,2.888871192932129,176,158,143.8960267905427,0.0,0
sensitivity,rectangle_probability=0.15,0,7,Hybrid,rectangle_probability,1,1.6781818866729736,59,120,154.265923288239,0.0,0
sensitivity,rectangle_probability=0.15,0,2,Hybrid,rectangle_probability,1,3.74141788482666,178,220,110.09090450425157,0.0,0
sensitivity,rectangle_probability=0.15,0,8,Hybrid,rectangle_probability,1,1.4678261280059814,49,105,120.84947542690308,0.0,0
sensitivity,rectangle_probability=0.15,0,10,Hybrid,rectangle_probability,1,1.9376680850982666,74,134,119.64391053240234,0.0,0
sensitivity,rectangle_probability=0.15,0,9,Hybrid,rectangle_probability,1,2.054245948791504,76,135,146.4260758190905,0.0,0
sensitivity,rectangle_probability=0.15,0,13,Hybrid,rectangle_probability,1,1.6546659469604492,62,128,134.1333178067393,0.0,0
sensitivity,rectangle_probability=0.15,0,12,Hybrid,rectangle_probability,1,2.2414770126342773,83,135,127.09141597339202,0.0,0
sensitivity,rectangle_probability=0.15,0,11,Hybrid,rectangle_probability,1,2.6380488872528076,146,171,160.0594362789808,0.0,0
sensitivity,rectangle_probability=0.15,0,14,Hybrid,rectangle_probability,1,1.9093310832977295,70,137,124.46397791004225,0.0,0
sensitivity,rectangle_probability=0.15,0,15,Hybrid,rectangle_probability,1,2.093032121658325,85,133,146.3075483267426,0.0,0
sensitivity,rectangle_probability=0.15,0,17,Hybrid,rectangle_probability,1,1.9424958229064941,90,142,115.00840256497223,0.0,0
sensitivity,rectangle_probability=0.15,0,18,Hybrid,rectangle_probability,1,1.9263989925384521,72,123,132.04477127163887,0.0,0
sensitivity,rectangle_probability=0.25,0,0,Hybrid,rectangle_probability,1,1.646911859512329,70,128,155.61702312858515,0.0,0
sensitivity,rectangle_probability=0.15,0,19,Hybrid,rectangle_probability,1,2.303563117980957,130,146,120.24273590525179,0.0,0
sensitivity,rectangle_probability=0.25,0,4,Hybrid,rectangle_probability,1,1.3187108039855957,59,111,120.14068221789461,0.0,0
sensitivity,rectangle_probability=0.25,0,2,Hybrid,rectangle_probability,1,2.1753668785095215,98,146,134.63802165487598,0.0,0
sensitivity,rectangle_probability=0.25,0,5,Hybrid,rectangle_probability,1,1.7519490718841553,66,121,131.4356350020076,0.0,0
sensitivity,rectangle_probability=0.25,0,1,Hybrid,rectangle_probability,1,2.8105669021606445,119,147,154.19571427748923,0.0,0
sensitivity,rectangle_probability=0.15,0,16,Hybrid,rectangle_probability,1,5.844606876373291,157,214,136.03477563631705,0.0,0
sensitivity,rectangle_probability=0.25,0,7,Hybrid,rectangle_probability,1,1.566431999206543,59,111,134.29984411846726,0.0,0
sensitivity,rectangle_probability=0.25,0,6,Hybrid,rectangle_probability,1,2.0638020038604736,73,131,134.03592505262458,0.0,0
sensitivity,rectangle_probability=0.25,0,8,Hybrid,rectangle_probability,1,1.5089898109436035,63,116,126.75568254982275,0.0,0
sensitivity,rectangle_probability=0.25,0,3,Hybrid,rectangle_probability,1,4.018348932266235,117,169,133.1156599536873,0.0,0
sensitivity,rectangle_probability=0.25,0,11,Hybrid,rectangle_probability,1,1.9106409549713135,81,133,137.55299818733857,0.0,0
sensitivity,rectangle_probability=0.25,0,12,Hybrid,rectangle_probability,1,2.3793818950653076,172,145,134.65352531673912,0.0,0
sensitivity,rectangle_probability=0.25,0,10,Hybrid,rectangle_probability,1,3.219921350479126,123,179,142.26569371674347,0.0,0
sensitivity,rectangle_probability=0.25,0,15,Hybrid,rectangle_probability,1,1.6905279159545898,82,114,153.18871912717952,0.0,0
sensitivity,rectangle_probability=0.25,0,17,Hybrid,rectangle_probability,1,1.2750160694122314,58,105,123.34190730726166,0.0,0
sensitivity,rectangle_probability=0.25,0,9,Hybrid,rectangle_probability,1,5.689609050750732,234,289,152.23563769978063,0.0,0
sensitivity,rectangle_probability=0.25,0,13,Hybrid,rectangle_probability,1,4.770475149154663,163,203,156.01341053227895,0.0,0
sensitivity,rectangle_probability=0.25,0,16,Hybrid,rectangle_probability,1,2.4972009658813477,221,155,129.90010519246198,0.0,0
sensitivity,rectangle_probability=0.25,0,19,Hybrid,rectangle_probability,1,1.539031982421875,90,106,148.76519063758437,0.0,0
sensitivity,rectangle_probability=0.35,0,0,Hybrid,rectangle_probability,1,1.5345268249511719,62,104,171.23955594576722,0.0,0
sensitivity,rectangle_probability=0.35,0,2,Hybrid,rectangle_probability,1,1.3614232540130615,51,97,125.64342792693313,0.0,0
sensitivity,rectangle_probability=0.25,0,18,Hybrid,rectangle_probability,1,2.8620831966400146,111,149,145.35575335877408,0.0,0
sensitivity,rectangle_probability=0.35,0,1,Hybrid,rectangle_probability,1,1.7690818309783936,81,110,128.84798471466917,0.0,0
sensitivity,rectangle_probability=0.35,0,3,Hybrid,rectangle_probability,1,1.263730764389038,45,94,132.79768890213444,0.0,0
sensitivity,rectangle_probability=0.35,0,5,Hybrid,rectangle_probability,1,1.5953130722045898,73,116,121.6166130666602,0.0,0
sensitivity,rectangle_probability=0.35,0,6,Hybrid,rectangle_probability,1,1.864081859588623,61,118,130.58126458688125,0.0,0
sensitivity,rectangle_probability=0.35,0,4,Hybrid,rectangle_probability,1,2.257693290710449,108,139,152.06084505218035,0.0,0
sensitivity,rectangle_probability=0.25,0,14,Hybrid,rectangle_probability,1,8.614221096038818,243,241,112.10456802199026,0.0,0
sensitivity,rectangle_probability=0.35,0,7,Hybrid,rectangle_probability,1,2.527215003967285,102,137,140.14998310211402,0.0,0
sensitivity,rectangle_probability=0.35,0,9,Hybrid,rectangle_probability,1,1.565080165863037,61,94,141.77411886144677,0.0,0
sensitivity,rectangle_probability=0.35,0,11,Hybrid,rectangle_probability,1,1.5793788433074951,73,117,119.0690218157689,0.0,0
sensitivity,rectangle_probability=0.35,0,10,Hybrid,rectangle_probability,1,1.6369740962982178,58,104,155.62576213797198,0.0,0
sensitivity,rectangle_probability=0.35,0,13,Hybrid,rectangle_probability,1,1.135671854019165,51,97,136.54282737016345,0.0,0
sensitivity,rectangle_probability=0.35,0,12,Hybrid,rectangle_probability,1,1.471120834350586,52,99,151.6579887901435,0.0,0
sensitivity,rectangle_probability=0.35,0,17,Hybrid,rectangle_probability,1,1.1394219398498535,63,89,121.27889949170768,0.0,0
sensitivity,rectangle_probability=0.35,0,8,Hybrid,rectangle_probability,1,4.988833904266357,168,201,178.8447692829768,0.0,0
sensitivity,rectangle_probability=0.35,0,16,Hybrid,rectangle_probability,1,2.2939441204071045,153,137,123.17326613986296,0.0,0
sensitivity,rectangle_probability=0.35,0,15,Hybrid,rectangle_probability,1,2.7820427417755127,141,134,161.6169268527941,0.0,0
sensitivity,rectangle_probability=0.35,0,18,Hybrid,rectangle_probability,1,2.1904890537261963,155,116,109.54813778002878,0.0,0
sensitivity,rectangle_probability=0.45,0,0,Hybrid,rectangle_probability,1,1.0684411525726318,45,69,114.10363796052573,0.0,0
sensitivity,rectangle_probability=0.45,0,1,Hybrid,rectangle_probability,1,1.6393580436706543,136,104,178.9472250233151,0.0,0
sensitivity,rectangle_probability=0.45,0,2,Hybrid,rectangle_probability,1,1.717292070388794,77,112,165.28917337613578,0.0,0
sensitivity,rectangle_probability=0.45,0,3,Hybrid,rectangle_probability,1,1.6022090911865234,70,101,171.40255187037124,0.0,0
sensitivity,rectangle_probability=0.35,0,14,Hybrid,rectangle_probability,1,4.995747804641724,127,160,114.0146172048654,0.0,0
sensitivity,rectangle_probability=0.35,0,19,Hybrid,rectangle_probability,1,3.2646729946136475,128,152,135.60025411821505,0.0,0
sensitivity,rectangle_probability=0.45,0,4,Hybrid,rectangle_probability,1,1.6700479984283447,62,104,121.26832047265883,0.0,0
sensitivity,rectangle_probability=0.45,0,5,Hybrid,rectangle_probability,1,1.6508448123931885,95,105,116.92646053144567,0.0,0
sensitivity,rectangle_probability=0.45,0,9,Hybrid,rectangle_probability,1,0.9080731868743896,58,81,149.77951951062062,0.0,0
sensitivity,rectangle_probability=0.45,0,7,Hybrid,rectangle_probability,1,1.3772637844085693,90,104,126.11591750601757,0.0,0
sensitivity,rectangle_probability=0.45,0,10,Hybrid,rectangle_probability,1,1.076927900314331,72,85,146.54278074502497,0.0,0
sensitivity,rectangle_probability=0.45,0,8,Hybrid,rectangle_probability,1,1.7529840469360352,108,112,123.14200096765207,0.0,0
sensitivity,rectangle_probability=0.45,0,11,Hybrid,rectangle_probability,1,0.7892842292785645,44,69,121.58789047765762,0.0,0
sensitivity,rectangle_probability=0.45,0,6,Hybrid,rectangle_probability,1,2.452684164047241,92,118,109.51794525650315,0.0,0
sensitivity,rectangle_probability=0.45,0,12,Hybrid,rectangle_probability,1,1.3006200790405273,61,91,144.21459711854223,0.0,0
sensitivity,rectangle_probability=0.45,0,16,Hybrid,rectangle_probability,1,1.3124701976776123,122,97,141.2619568428664,0.0,0
sensitivity,rectangle_probability=0.45,0,13,Hybrid,rectangle_probability,1,2.0767619609832764,109,132,161.20558784722644,0.0,0
sensitivity,rectangle_probability=0.45,0,18,Hybrid,rectangle_probability,1,1.5597631931304932,167,88,124.47773417516109,0.0,0
sensitivity,rectangle_probability=0.55,0,0,Hybrid,rectangle_probability,1,0.6866261959075928,42,61,110.1595183310008,0.0,0
sensitivity,rectangle_probability=0.45,0,15,Hybrid,rectangle_probability,1,2.312648057937622,146,130,172.43540585862857,0.0,0
sensitivity,rectangle_probability=0.45,0,17,Hybrid,rectangle_probability,1,2.3287370204925537,171,131,147.92883111755785,0.0,0
sensitivity,rectangle_probability=0.45,0,14,Hybrid,rectangle_probability,1,3.25404691696167,111,134,119.29332927555863,0.0,0
sensitivity,rectangle_probability=0.45,0,19,Hybrid,rectangle_probability,1,1.810525894165039,69,111,122.86188987149735,0.0,0
sensitivity,rectangle_probability=0.55,0,3,Hybrid,rectangle_probability,1,1.008772850036621,44,67,142.61452647107066,0.0,0
sensitivity,rectangle_probability=0.55,0,1,Hybrid,rectangle_probability,1,1.0971038341522217,121,78,115.36077665047944,0.0,0
sensitivity,rectangle_probability=0.55,0,2,Hybrid,rectangle_probability,1,1.4082140922546387,64,89,147.4682763329061,0.0,0
sensitivity,rectangle_probability=0.55,0,7,Hybrid,rectangle_probability,1,1.1078388690948486,62,83,150.43855284596933,0.0,0
sensitivity,rectangle_probability=0.55,0,4,Hybrid,rectangle_probability,1,1.6950898170471191,109,114,144.54416135191903,0.0,0
sensitivity,rectangle_probability=0.55,0,11,Hybrid,rectangle_probability,1,0.7923378944396973,54,66,113.66653503422066,0.0,0
sensitivity,rectangle_probability=0.55,0,9,Hybrid,rectangle_probability,1,2.0073349475860596,157,125,115.35136615811379,0.0,0
