config,trial,success,path_length,planning_time,num_nodes,num_iterations
Baseline,1,True,48.9757177875138,0.9758520126342773,286,229
Baseline,2,True,58.09493959183524,1.0038371086120605,273,273
Baseline,3,True,58.36635651855422,1.4768540859222412,363,390
Baseline,4,True,53.29037669896028,0.881723165512085,268,182
Baseline,5,True,52.81632974548275,0.8642852306365967,289,250
Baseline,6,True,50.58710390849101,0.7232539653778076,235,157
Baseline,7,True,47.3615402192828,1.310858964920044,330,356
Baseline,8,True,44.91152147811258,0.9728572368621826,278,319
Baseline,9,True,47.613913038019376,1.3960728645324707,341,381
Baseline,10,True,54.607461084918654,0.5872259140014648,212,90
Baseline,11,True,41.316755189060906,1.5978848934173584,379,389
Baseline,12,True,47.94729786675703,1.0793068408966064,311,356
Baseline,13,True,60.54817043538622,0.819450855255127,279,241
Baseline,14,True,33.6125796001049,0.9616429805755615,283,263
Baseline,15,True,46.630481687703906,1.3911330699920654,361,384
Baseline,16,True,51.45846771889912,1.5272562503814697,351,395
Baseline,17,True,43.29059167478266,1.331056833267212,332,312
Baseline,18,True,51.189536116060744,1.027235984802246,306,307
Baseline,19,True,52.3066988816701,0.7165780067443848,228,182
Baseline,20,True,49.37055908376551,1.0265789031982422,281,282
Baseline,21,True,56.34513107511008,1.6496860980987549,375,463
Baseline,22,True,52.38677448655154,0.692450761795044,243,159
Baseline,23,True,39.700216644291636,0.7323400974273682,251,202
Baseline,24,True,62.274809994934685,0.7758619785308838,266,249
Baseline,25,True,52.68868810482188,0.9991340637207031,298,235
Baseline,26,True,51.74017718294002,1.211284875869751,343,426
Baseline,27,True,47.67083524607351,1.3125760555267334,330,349
Baseline,28,True,55.234846860218546,0.866008996963501,283,245
Baseline,29,True,42.758574168356645,0.9717147350311279,279,205
Baseline,30,True,48.69518139519876,1.3946788311004639,323,396
Baseline,31,True,45.586335861165935,0.9795870780944824,292,272
Baseline,32,True,51.66490157281896,0.6920292377471924,250,235
Baseline,33,True,54.54054767152254,1.126044750213623,305,289
Baseline,34,True,52.16886711531289,0.7244291305541992,232,216
Baseline,35,True,58.04187251560689,0.8026049137115479,269,205
Baseline,36,True,51.91204560265715,0.6141729354858398,244,119
Baseline,37,True,54.27227692426046,0.9966042041778564,313,318
Baseline,38,True,59.40214907314967,0.7971639633178711,239,255
Baseline,39,True,51.89306934096715,1.3554680347442627,372,443
Baseline,40,True,54.19448318792189,1.1481969356536865,339,330
Baseline,41,True,44.10099553703046,1.934220790863037,440,567
Baseline,42,True,65.09151106521301,0.9156661033630371,305,297
Baseline,43,True,57.04659578049862,0.8651580810546875,292,242
Baseline,44,True,50.45690388398897,1.2217128276824951,330,420
Baseline,45,True,51.014535027316775,1.0974998474121094,301,285
Baseline,46,True,51.866855784955405,0.850318193435669,254,190
Baseline,47,True,45.23885673463544,0.7176651954650879,226,119
Baseline,48,True,54.11126732682791,0.5907201766967773,210,134
Baseline,49,True,51.97895697597892,0.9176480770111084,300,242
Baseline,50,True,51.78172850929621,0.8969101905822754,272,213
GoalBias,1,True,47.754147535419,1.6814091205596924,412,574
GoalBias,2,True,59.897055362868194,0.869379997253418,289,333
GoalBias,3,True,56.39837079502806,0.6391007900238037,236,260
GoalBias,4,True,56.48070529659689,1.1812820434570312,327,436
GoalBias,5,True,46.1486042474943,1.345484972000122,316,388
GoalBias,6,True,56.89832311508831,0.9106321334838867,258,305
GoalBias,7,True,45.14199071476155,1.6580090522766113,383,716
GoalBias,8,True,51.20302699860967,1.0845513343811035,298,519
GoalBias,9,True,49.97100063972634,1.1907610893249512,293,303
GoalBias,10,True,49.62397622875188,2.3007471561431885,454,670
GoalBias,11,True,54.72576599385466,1.4969251155853271,349,442
GoalBias,12,True,56.33976526487978,0.869459867477417,250,364
GoalBias,13,True,52.37058397399153,0.9829807281494141,287,274
GoalBias,14,True,54.38572073889697,0.572425127029419,223,169
GoalBias,15,True,52.7207568870716,1.3664813041687012,360,488
GoalBias,16,True,57.16777752333988,1.0280101299285889,269,233
GoalBias,17,True,57.551663824039586,0.6252439022064209,223,218
GoalBias,18,True,44.01530464858718,1.4543497562408447,303,302
GoalBias,19,True,46.99024948842351,0.8186719417572021,288,330
GoalBias,20,True,48.65323758659266,0.9361801147460938,264,243
GoalBias,21,True,66.50520260101679,0.8080906867980957,249,317
GoalBias,22,True,52.20129948169969,0.7278149127960205,229,290
GoalBias,23,True,49.124018502820114,1.66084623336792,426,657
GoalBias,24,True,50.714213868941954,0.6163549423217773,209,238
GoalBias,25,True,65.63450680487288,1.3954389095306396,345,491
GoalBias,26,True,46.88511848722145,0.8651001453399658,260,301
GoalBias,27,True,50.658379524975864,0.9070549011230469,277,295
GoalBias,28,True,47.91418635459906,0.8930380344390869,283,260
GoalBias,29,True,48.14390310057046,1.268099069595337,338,551
GoalBias,30,True,42.85075154025168,0.6458637714385986,210,254
GoalBias,31,True,51.169567969063735,1.3221211433410645,347,343
GoalBias,32,True,42.32920403801654,0.8037192821502686,247,344
GoalBias,33,True,42.85568998861707,2.313319206237793,420,683
GoalBias,34,True,43.82359623972307,2.050624132156372,434,793
GoalBias,35,True,49.71764374374828,0.9147729873657227,306,363
GoalBias,36,True,52.79127982817894,0.9078679084777832,293,292
GoalBias,37,True,49.88541620574162,1.023960828781128,321,457
GoalBias,38,True,52.53477383199869,0.6808669567108154,230,295
GoalBias,39,True,46.56379805399252,1.5068190097808838,347,288
GoalBias,40,True,51.11130618014977,1.0816388130187988,307,509
GoalBias,41,True,46.813719751343775,1.2855417728424072,334,421
GoalBias,42,True,40.63378567501439,1.6978840827941895,400,759
GoalBias,43,True,40.84201695739928,0.9892048835754395,266,167
GoalBias,44,True,47.662875260738346,0.8747310638427734,308,321
GoalBias,45,True,44.700632822671,1.446126937866211,279,221
GoalBias,46,True,42.67595138035789,0.6798217296600342,210,256
GoalBias,47,True,55.43035558367006,0.8259658813476562,261,363
GoalBias,48,True,49.55404237335114,1.661890983581543,420,735
GoalBias,49,True,44.824597344116384,0.8590550422668457,272,375
GoalBias,50,True,54.45692930189724,0.7559769153594971,231,400
GoalBias+Tangent,1,True,46.28844155801272,2.0232481956481934,488,714
GoalBias+Tangent,2,True,56.12762106699174,0.8571069240570068,304,333
GoalBias+Tangent,3,True,50.33457119981844,0.6695537567138672,251,265
GoalBias+Tangent,4,True,63.12444399507758,1.169727087020874,339,436
GoalBias+Tangent,5,True,50.91614707410692,0.9281520843505859,277,388
GoalBias+Tangent,6,True,56.09475944855458,1.1046571731567383,286,335
GoalBias+Tangent,7,True,56.19485432271276,1.704916000366211,404,716
GoalBias+Tangent,8,True,60.40712994969208,1.0250561237335205,295,519
GoalBias+Tangent,9,True,60.4852715207891,0.9043848514556885,262,330
GoalBias+Tangent,10,True,58.21602647537054,1.7753410339355469,411,670
GoalBias+Tangent,11,True,64.8691241649295,1.2137901782989502,320,442
GoalBias+Tangent,12,True,61.35392035345093,0.9162468910217285,273,374
GoalBias+Tangent,13,True,51.63691525783002,0.9607617855072021,287,274
GoalBias+Tangent,14,True,61.000628212552016,0.6589188575744629,251,197
GoalBias+Tangent,15,True,58.2498569814408,1.38895583152771,374,488
GoalBias+Tangent,16,True,61.1078330010412,0.8860418796539307,270,288
GoalBias+Tangent,17,True,61.90705302648576,0.6778280735015869,243,218
GoalBias+Tangent,18,True,53.090445415007565,0.8309519290924072,269,302
GoalBias+Tangent,19,True,50.93195427160159,0.846358060836792,281,330
GoalBias+Tangent,20,True,61.462811106969504,0.6405398845672607,227,281
GoalBias+Tangent,21,True,57.47281808875169,1.0242319107055664,306,399
GoalBias+Tangent,22,True,54.412823437572406,0.7584018707275391,242,290
GoalBias+Tangent,23,True,63.04313566822878,1.5759899616241455,384,657
GoalBias+Tangent,24,True,50.98909670272201,0.6758592128753662,235,238
GoalBias+Tangent,25,True,70.05602504987318,1.106307029724121,324,491
GoalBias+Tangent,26,True,51.82492509773981,0.8119077682495117,256,301
GoalBias+Tangent,27,True,53.73441655227959,0.9292688369750977,292,295
GoalBias+Tangent,28,True,57.48362502332088,0.7504160404205322,251,260
GoalBias+Tangent,29,True,47.47766151499996,1.415982723236084,383,601
GoalBias+Tangent,30,True,49.09221661500826,0.728173017501831,236,259
GoalBias+Tangent,31,True,54.876973977100704,1.1009180545806885,327,343
GoalBias+Tangent,32,True,48.03070889781077,0.8808908462524414,276,344
GoalBias+Tangent,33,True,50.799767221264744,1.8528251647949219,400,696
GoalBias+Tangent,34,True,52.263293909032356,2.258765935897827,476,841
GoalBias+Tangent,35,True,62.071889855967186,0.9328210353851318,314,363
