method,episodes,success_rate,mean_collisions,mean_length,mean_global_ms,mean_local_ms,mean_expanded
SE2-Risk-HA*+MPPI (Ours),6,0.3333333333333333,0.0,16.74828023228182,1366.248118001143,10875.173798499722,135.5
no_global_risk,6,0.3333333333333333,39.0,17.050851702147977,1344.15115283385,10326.560659832467,134.16666666666666
no_dynamic_prediction,6,0.5,103.5,19.727763095058947,1373.6685073333017,8648.384173499531,135.5
no_kinodynamic_recovery,6,0.3333333333333333,0.0,16.74828023228182,1353.9507568336073,11042.24693083294,135.5
