success,path_length,travel_time,planning_ms,mean_curvature,max_curvature,smoothness,min_static_clearance,min_dynamic_clearance,scene,split,difficulty,method,footprint_collisions
0,1.0799999999999985,2.1,233.2910000004631,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,13.263483813305283,0,train,simple,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,492.3049169992737,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,13.86809687158533,0,train,simple,Hybrid A*+TEB,0
0,8.729999999999986,9.700000000000001,14.332082999317208,0.0,0.0,0.0,1.5999999999999996,10.63656429492155,0,train,simple,Greedy+APF,0
0,1.0799999999999985,2.1,236.96029100028682,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,13.263483813305283,0,train,simple,RCRA*+DWA,0
0,15.774248368467246,35.1,0.5373749991122168,0.2668676751139699,0.40558721647824947,0.009530677945361258,0.6254697342770277,10.267752815924766,0,train,simple,A*+UA,51
0,47.97831676952974,180.0,2.0836670009884983,0.3806100544906073,0.40558721647824947,0.0006769285322999125,0.008482720826407506,1.879079786186962,0,train,simple,RCRA*+UA (Ours),1101
0,0.08999999999999986,0.1,232.07845800061477,0.0,0.0,0,1.7888543819998322,14.45448373343026,1,train,moderate,A*+DWA,0
0,0.08999999999999986,0.1,288.85954200086417,0.0,0.0,0,1.7888543819998322,14.45448373343026,1,train,moderate,Hybrid A*+TEB,0
0,5.489999999999992,6.1000000000000005,14.25283299977309,0.0,0.0,0.0,1.5999999999999996,12.86656519821821,1,train,moderate,Greedy+APF,0
0,0.08999999999999986,0.1,240.3682080002909,0.0,0.0,0,1.7888543819998322,14.45448373343026,1,train,moderate,RCRA*+DWA,0
0,0.0,0.0,2.5942499996745028,0.0,0.0,0,1.7888543819998322,14.560219778561036,1,train,moderate,A*+UA,1
0,0.0,0.0,9.488333998888265,0.0,0.0,0,1.7888543819998322,14.560219778561036,1,train,moderate,RCRA*+UA (Ours),1
0,1.0799999999999985,2.1,231.04762499860954,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,7.429437897750711,2,train,hard,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,392.00549999804934,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,8.186823167275243,2,train,hard,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.751916999637615,0.0,0.0,0.0,1.5999999999999996,4.555655825454771,2,train,hard,Greedy+APF,0
0,1.0799999999999985,2.1,235.03012499713805,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,7.429437897750711,2,train,hard,RCRA*+DWA,0
1,15.38999999999998,17.1,0.2903749991673976,0.0,0.0,0.0,1.5999999999999996,4.555655825454771,2,train,hard,A*+UA,0
1,15.38999999999998,17.1,1.9856670005538035,0.0,0.0,0.0,1.5999999999999996,4.555655825454771,2,train,hard,RCRA*+UA (Ours),0
0,1.0799999999999985,2.1,239.65816700001596,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,20.368110850581004,3,train,simple,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,435.1317079999717,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,21.104994986662636,3,train,simple,Hybrid A*+TEB,0
0,14.57999999999998,16.2,1.8614999971759971,0.0,0.0,0.0,1.5999999999999996,6.629781293526981,3,train,simple,Greedy+APF,0
0,1.0799999999999985,2.1,239.97166600020137,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,20.368110850581004,3,train,simple,RCRA*+DWA,0
1,15.38999999999998,17.1,0.3003330020874273,0.0,0.0,0.0,1.5999999999999996,5.8127876272921135,3,train,simple,A*+UA,0
1,15.38999999999998,17.1,2.1035829995526,0.0,0.0,0.0,1.5999999999999996,5.8127876272921135,3,train,simple,RCRA*+UA (Ours),0
0,0.629999999999999,0.7000000000000001,202.25241700245533,0.0,0.0,0.0,1.257338458808925,8.307616986838045,4,train,moderate,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,408.89620799862314,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5188543819998328,8.606085148587264,4,train,moderate,Hybrid A*+TEB,0
0,14.706185278558028,24.5,1.6233329988608602,0.1731954658669038,0.40558721647824947,0.008741429310212339,0.8915555938254112,6.097211011721085,4,train,moderate,Greedy+APF,0
0,0.629999999999999,0.7000000000000001,201.90729199748603,0.0,0.0,0.0,1.257338458808925,8.307616986838045,4,train,moderate,RCRA*+DWA,0
1,15.538685269326368,24.0,0.32337499942514114,0.1446947169341441,0.40558721647824947,0.008924304404839186,0.8915555938254112,6.097211011721085,4,train,moderate,A*+UA,0
0,40.63499999999999,180.0,1.9527500007825438,0.40513656401549564,0.40558721647824947,0.00022545148220024986,0.0036676685054187904,7.563088675261948,4,train,moderate,RCRA*+UA (Ours),1069
0,1.0799999999999985,2.1,232.73779200098943,0.23176412370185678,0.40558721647824947,0.020279360823912473,1.5910284645878356,6.943810193258454,5,train,hard,A*+DWA,0
0,0.2699999999999993,0.30000000000000004,401.4004999989993,7.824388086247376e-16,1.2432035494856046e-15,6.216017747428023e-16,1.5811751664430078,7.141336216074283,5,train,hard,Hybrid A*+TEB,0
