method,test_scenes,success_mean,success_ci95,path_length_mean,path_length_ci95,travel_time_mean,travel_time_ci95,planning_ms_mean,planning_ms_ci95,mean_curvature_mean,mean_curvature_ci95,max_curvature_mean,max_curvature_ci95,smoothness_mean,smoothness_ci95,min_static_clearance_mean,min_static_clearance_ci95,min_dynamic_clearance_mean,min_dynamic_clearance_ci95,footprint_collisions_mean,footprint_collisions_ci95
A*+DWA,15,0.0,0.0,1.6123896886298377,1.200002661259114,4.613333333333333,4.843671254098258,333.6089387332322,136.70110833801652,0.1977549757968549,0.06494131586582638,0.2974306254173829,0.09395315984097719,0.01087438143018125,0.004714132680001373,1.0719609792725924,0.22220918482400895,12.522074045729772,2.9262965100787617,17.466666666666665,29.40800483617419
Hybrid A*+TEB,15,0.0,0.0,6.028602934363173,5.4686297789680856,21.40666666666667,22.733638114867972,462.248819465943,240.3392318306058,0.2091255867885381,0.08339593504840076,0.25276139189540825,0.09631828276959332,0.005336269679097853,0.0028815925091523155,0.9761884402403191,0.26346551969482024,11.502533255858316,3.1850612045064413,76.0,135.68469881800723
Greedy+APF,15,0.0,0.0,17.647635260950356,6.360576465566052,47.76,34.724039141397895,8.533341800648486,4.314646860237164,0.11819814948446912,0.08351704347703351,0.18927403435651638,0.10599345923964919,0.002490066662696089,0.0023761708281882623,1.1308475878232542,0.32330750385686735,7.28572214990532,2.923991097358676,294.06666666666666,308.83544979019354
RCRA*+DWA,15,0.0,0.0,1.6123896886298377,1.200002661259114,4.613333333333333,4.843671254098258,337.51015273373923,146.5132963419794,0.1977549757968549,0.06494131586582638,0.2974306254173829,0.09395315984097719,0.01087438143018125,0.004714132680001373,1.0719609792725924,0.22220918482400895,12.522074045729772,2.9262965100787617,17.466666666666665,29.40800483617419
A*+UA,15,0.3333333333333333,0.24693678903269514,24.948878829095293,11.154059408742704,71.12000000000002,40.72795558957836,1.2171223330369685,0.6455835545520282,0.1671862869757053,0.08668657585319405,0.21631318212173298,0.1059934592396492,0.002503408224409848,0.0022018661686333068,0.7764399265962436,0.3743060620731462,7.56280605633456,3.267396466049767,274.46666666666664,203.55934610929668
RCRA*+UA (Ours),15,0.3333333333333333,0.24693678903269514,24.893769603665206,9.006888085860542,91.07333333333332,43.82185008803003,5.284433467750205,2.2811012863860243,0.20486262360354485,0.1016420498472149,0.21631318212173298,0.1059934592396492,0.0010974030188412357,0.0015444586303623117,0.746146226270311,0.388419736812847,7.4207108247599525,3.2274051668536985,465.8666666666667,264.52296228326026
