config,trial,success,path_length,planning_time,num_nodes,num_iterations
Baseline,1,True,25.642534404708186,0.4692058563232422,245,24
Baseline,2,True,34.93519793299849,0.3868439197540283,213,35
Baseline,3,True,30.524132309778622,0.508929967880249,256,50
Baseline,4,True,40.06146355943752,0.4612088203430176,243,27
Baseline,5,True,33.60925936616663,0.41294002532958984,232,29
Baseline,6,True,35.620470063696494,0.41423988342285156,223,34
Baseline,7,True,30.658522572136867,0.3566410541534424,212,16
Baseline,8,True,29.89282655108004,0.3908090591430664,215,46
Baseline,9,True,30.475420588187824,0.4509251117706299,232,23
Baseline,10,True,36.044464277516695,0.5398590564727783,275,98
Baseline,11,True,25.551364102421317,0.42800211906433105,232,32
Baseline,12,True,36.66748152528617,0.4352428913116455,229,21
Baseline,13,True,32.57922178803438,0.4656238555908203,220,20
Baseline,14,True,28.263325194479524,0.5579178333282471,254,110
Baseline,15,True,33.99077842462132,0.474135160446167,257,38
Baseline,16,True,22.748691716923002,0.42763805389404297,226,45
Baseline,17,True,36.75812135033292,0.3975028991699219,219,22
Baseline,18,True,32.80807844110539,0.4378180503845215,224,39
Baseline,19,True,37.069850050183305,0.4123728275299072,225,27
Baseline,20,True,31.61743855089938,0.46263575553894043,244,37
Baseline,21,True,31.13347827945277,0.4140169620513916,230,31
Baseline,22,True,29.261678552307757,0.43386292457580566,230,17
Baseline,23,True,40.88375139402607,0.3516242504119873,209,22
Baseline,24,True,29.454642015043575,0.4497079849243164,233,38
Baseline,25,True,35.95359990630061,0.4198880195617676,235,33
Baseline,26,True,33.40909533663319,0.5556089878082275,255,72
Baseline,27,True,30.222565060279386,0.44986915588378906,239,38
Baseline,28,True,41.4071538243071,0.5295557975769043,272,99
Baseline,29,True,40.551006846944404,0.544856071472168,265,51
Baseline,30,True,38.96691864508721,0.40169501304626465,224,13
Baseline,31,True,24.129947887824624,0.4526970386505127,248,35
Baseline,32,True,35.230913699779144,0.6930990219116211,277,126
Baseline,33,True,26.891061956143655,0.4254188537597656,233,40
Baseline,34,True,35.714008211004796,0.4855186939239502,248,59
Baseline,35,True,35.309785069411,0.3769338130950928,224,33
Baseline,36,True,25.0904829886897,0.4886918067932129,248,64
Baseline,37,True,41.12852807850845,0.49602603912353516,261,85
Baseline,38,True,27.110893874268513,0.41640329360961914,220,12
Baseline,39,True,28.56338204065341,0.4473693370819092,238,31
Baseline,40,True,32.59960929007184,0.43869686126708984,234,18
Baseline,41,True,23.0729455386758,0.4590630531311035,237,35
Baseline,42,True,37.315880315515976,0.4322049617767334,228,47
Baseline,43,True,34.059509142191,0.4907991886138916,249,34
Baseline,44,True,33.231095495449054,0.4337162971496582,231,18
Baseline,45,True,35.85542592168949,0.4017348289489746,221,30
Baseline,46,True,42.84896699937114,0.4077639579772949,216,22
Baseline,47,True,37.34027417653462,0.45749998092651367,231,25
Baseline,48,True,37.970880913065514,0.36688685417175293,210,21
Baseline,49,True,34.01383686786298,0.42172908782958984,237,35
Baseline,50,True,31.831898300702054,0.46713805198669434,252,52
GoalBias,1,True,29.39090789152911,0.8798220157623291,241,19
GoalBias,2,True,23.864024847862083,0.326038122177124,199,19
GoalBias,3,True,28.93315644512468,0.34551501274108887,215,19
GoalBias,4,True,32.14788141952999,0.30798983573913574,188,24
GoalBias,5,True,37.32479863344029,0.346362829208374,191,20
GoalBias,6,True,28.112026089351165,0.6280419826507568,247,30
GoalBias,7,True,32.143647403881054,0.48833584785461426,210,14
GoalBias,8,True,30.369562328855928,0.32527995109558105,182,19
GoalBias,9,True,33.166276326592204,0.3881051540374756,228,19
GoalBias,10,True,30.379873093503566,0.31674909591674805,165,27
GoalBias,11,True,25.5817491805594,0.33730530738830566,177,14
GoalBias,12,True,35.77905552499892,0.39873504638671875,198,15
GoalBias,13,True,31.95217590277923,0.3216986656188965,185,29
GoalBias,14,True,36.913653793623205,0.47426414489746094,209,16
GoalBias,15,True,30.412934151253346,0.5087358951568604,227,16
GoalBias,16,True,36.97148294901292,0.49952220916748047,237,18
GoalBias,17,True,32.432539879816616,0.4460880756378174,229,13
GoalBias,18,True,31.818836659426587,0.7111868858337402,275,82
GoalBias,19,True,31.561536170762217,0.5643281936645508,248,23
GoalBias,20,True,35.90427896643681,0.4470069408416748,218,20
GoalBias,21,True,29.616993157251457,0.8308629989624023,252,24
GoalBias,22,True,31.880398419389152,0.7397708892822266,252,31
GoalBias,23,True,30.275856466361773,0.33341193199157715,197,11
GoalBias,24,True,29.789939511325745,0.781059980392456,233,19
GoalBias,25,True,33.09076399791889,0.6406471729278564,244,19
GoalBias,26,True,30.20812134795692,0.601830005645752,238,22
GoalBias,27,True,29.043796933817653,0.5246410369873047,243,32
GoalBias,28,True,28.965935307188477,0.6387491226196289,243,22
GoalBias,29,True,38.58857949756147,0.3790457248687744,207,28
GoalBias,30,True,34.81751425727542,0.2768368721008301,172,14
GoalBias,31,True,31.61549746320128,0.5564479827880859,229,17
GoalBias,32,True,33.543105378320554,0.5821218490600586,240,16
GoalBias,33,True,29.962667648294765,0.5685293674468994,243,32
GoalBias,34,True,29.44540100264631,0.9613659381866455,255,40
GoalBias,35,True,30.986402684325387,0.6376731395721436,225,16
GoalBias,36,True,31.509676054331543,0.24492502212524414,156,15
GoalBias,37,True,31.095656622671598,0.8471941947937012,236,19
GoalBias,38,True,36.04722565809264,0.4000239372253418,212,11
GoalBias,39,True,27.976435480853414,0.578765869140625,227,17
GoalBias,40,True,30.310079463524534,0.4127821922302246,200,27
GoalBias,41,True,33.55659565600169,0.2677309513092041,177,13
GoalBias,42,True,33.624111457671475,0.44048476219177246,217,24
GoalBias,43,True,28.43871001146257,0.8501729965209961,256,13
GoalBias,44,True,32.0405219070263,0.6070072650909424,237,27
GoalBias,45,True,28.801803303038323,0.7051517963409424,236,21
GoalBias,46,True,31.05729692581528,0.6506869792938232,229,16
GoalBias,47,True,36.93786190010293,0.3793010711669922,188,22
GoalBias,48,True,32.574184529030354,0.3116641044616699,179,20
GoalBias,49,True,29.99806874670988,0.5513582229614258,221,14
GoalBias,50,True,39.83005871678836,0.3264122009277344,190,29
GoalBias+Tangent,1,True,33.9577482481891,0.3674349784851074,207,19
GoalBias+Tangent,2,True,29.95571808980308,0.379702091217041,219,19
GoalBias+Tangent,3,True,42.74575770339573,0.3809340000152588,210,19
GoalBias+Tangent,4,True,35.070202626093035,0.3771798610687256,210,24
GoalBias+Tangent,5,True,38.77716280118345,0.36774182319641113,202,20
GoalBias+Tangent,6,True,30.1530684637709,0.3880140781402588,209,30
GoalBias+Tangent,7,True,40.353457227901814,0.36423802375793457,202,14
GoalBias+Tangent,8,True,38.4097763212466,0.3151860237121582,184,19
GoalBias+Tangent,9,True,30.801285562034696,0.3199911117553711,199,19
GoalBias+Tangent,10,True,38.0151474475213,0.32488179206848145,183,27
