地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
map_0002_seed_6373849475244374403,0,GoalBias,50,100.0,36.28,4.46,0.491,0.213,217,29
map_0002_seed_6373849475244374403,0,GoalBias+Tangent,50,100.0,41.22,5.08,0.377,0.045,215,29
map_0002_seed_6373849475244374403,1,Baseline,50,100.0,38.91,9.05,0.530,0.134,269,93
map_0002_seed_6373849475244374403,1,GoalBias,50,100.0,37.79,5.90,0.473,0.186,224,42
map_0002_seed_6373849475244374403,1,GoalBias+Tangent,50,100.0,40.57,5.51,0.369,0.088,213,47
map_0002_seed_6373849475244374403,2,Baseline,50,100.0,42.75,4.85,0.537,0.086,259,77
map_0002_seed_6373849475244374403,2,GoalBias,50,100.0,40.97,4.52,0.511,0.187,225,43
map_0002_seed_6373849475244374403,2,GoalBias+Tangent,50,100.0,45.55,5.18,0.391,0.050,220,43
map_0002_seed_6373849475244374403,3,Baseline,50,100.0,36.15,6.81,0.524,0.125,267,93
map_0002_seed_6373849475244374403,3,GoalBias,50,100.0,32.39,4.67,0.476,0.173,227,69
map_0002_seed_6373849475244374403,3,GoalBias+Tangent,50,100.0,37.20,5.05,0.398,0.091,225,73
map_0002_seed_6373849475244374403,4,Baseline,50,100.0,37.00,6.01,0.459,0.097,245,65
map_0002_seed_6373849475244374403,4,GoalBias,50,100.0,36.59,6.77,0.451,0.198,215,52
map_0002_seed_6373849475244374403,4,GoalBias+Tangent,50,100.0,42.24,6.81,0.361,0.048,215,53
map_0002_seed_6373849475244374403,5,Baseline,50,100.0,32.54,5.92,0.482,0.089,249,61
map_0002_seed_6373849475244374403,5,GoalBias,50,100.0,31.76,4.72,0.521,0.238,221,34
map_0002_seed_6373849475244374403,5,GoalBias+Tangent,50,100.0,37.46,5.17,0.384,0.063,214,34
map_0002_seed_6373849475244374403,6,Baseline,50,100.0,36.03,7.11,0.472,0.101,248,61
map_0002_seed_6373849475244374403,6,GoalBias,50,100.0,34.97,4.40,0.431,0.160,213,33
map_0002_seed_6373849475244374403,6,GoalBias+Tangent,50,100.0,39.63,5.51,0.376,0.100,201,33
map_0002_seed_6373849475244374403,7,Baseline,50,100.0,34.74,7.66,0.414,0.040,228,36
map_0002_seed_6373849475244374403,7,GoalBias,50,100.0,32.92,6.77,0.421,0.168,211,36
map_0002_seed_6373849475244374403,7,GoalBias+Tangent,50,100.0,39.58,6.78,0.370,0.063,212,37
map_0002_seed_6373849475244374403,8,Baseline,50,100.0,36.94,4.37,0.524,0.079,265,97
map_0002_seed_6373849475244374403,8,GoalBias,50,100.0,36.93,4.32,0.544,0.238,233,66
map_0002_seed_6373849475244374403,8,GoalBias+Tangent,50,100.0,41.08,4.27,0.406,0.064,226,66
map_0002_seed_6373849475244374403,9,Baseline,50,100.0,34.68,6.51,0.411,0.056,230,38
map_0002_seed_6373849475244374403,9,GoalBias,50,100.0,33.25,5.07,0.492,0.200,221,44
map_0002_seed_6373849475244374403,9,GoalBias+Tangent,50,100.0,40.16,6.72,0.381,0.067,216,44
