地图,pair索引,配置,成功次数,成功率(%),平均路径长度(m),路径长度std,平均规划时间(s),规划时间std,平均节点数,平均迭代数
map_0000_seed_2312883878506865772,0,Baseline,50,100.0,37.61,4.96,0.464,0.048,239,50
map_0000_seed_2312883878506865772,0,GoalBias,50,100.0,35.28,3.92,0.549,0.236,217,22
map_0000_seed_2312883878506865772,0,GoalBias+Tangent,50,100.0,40.75,3.76,0.364,0.050,207,22
map_0000_seed_2312883878506865772,1,Baseline,50,100.0,33.12,5.03,0.450,0.060,236,40
map_0000_seed_2312883878506865772,1,GoalBias,50,100.0,31.82,3.23,0.514,0.183,218,22
map_0000_seed_2312883878506865772,1,GoalBias+Tangent,50,100.0,35.92,3.87,0.358,0.045,203,22
map_0000_seed_2312883878506865772,2,Baseline,50,100.0,32.01,4.66,0.458,0.052,236,44
map_0000_seed_2312883878506865772,2,GoalBias,50,100.0,31.53,3.43,0.443,0.175,204,21
map_0000_seed_2312883878506865772,2,GoalBias+Tangent,50,100.0,35.43,3.60,0.345,0.043,203,21
map_0000_seed_2312883878506865772,3,Baseline,50,100.0,35.38,5.72,0.430,0.048,228,31
map_0000_seed_2312883878506865772,3,GoalBias,50,100.0,32.27,4.61,1.019,1.035,209,18
map_0000_seed_2312883878506865772,3,GoalBias+Tangent,50,100.0,38.17,5.02,0.435,0.133,214,18
map_0000_seed_2312883878506865772,4,Baseline,50,100.0,36.76,4.47,0.593,0.140,280,104
map_0000_seed_2312883878506865772,4,GoalBias,50,100.0,36.14,4.75,0.526,0.175,243,90
map_0000_seed_2312883878506865772,4,GoalBias+Tangent,50,100.0,40.89,5.06,0.451,0.091,240,91
map_0000_seed_2312883878506865772,5,Baseline,50,100.0,32.57,4.86,0.479,0.052,246,58
map_0000_seed_2312883878506865772,5,GoalBias,50,100.0,30.79,3.82,0.501,0.220,213,33
map_0000_seed_2312883878506865772,5,GoalBias+Tangent,50,100.0,35.24,4.27,0.346,0.046,204,33
map_0000_seed_2312883878506865772,6,Baseline,50,100.0,41.44,5.56,0.449,0.051,235,44
map_0000_seed_2312883878506865772,6,GoalBias,50,100.0,39.59,4.17,0.515,0.235,213,34
map_0000_seed_2312883878506865772,6,GoalBias+Tangent,50,100.0,44.05,4.54,0.409,0.058,215,34
map_0000_seed_2312883878506865772,7,Baseline,50,100.0,39.70,5.33,0.594,0.137,279,102
map_0000_seed_2312883878506865772,7,GoalBias,50,100.0,39.31,4.07,0.563,0.196,254,96
map_0000_seed_2312883878506865772,7,GoalBias+Tangent,50,100.0,44.12,5.06,0.470,0.105,248,99
map_0000_seed_2312883878506865772,8,Baseline,50,100.0,48.06,4.05,0.493,0.061,255,70
map_0000_seed_2312883878506865772,8,GoalBias,50,100.0,47.31,4.15,0.514,0.213,221,45
map_0000_seed_2312883878506865772,8,GoalBias+Tangent,50,100.0,52.30,4.93,0.367,0.048,212,45
map_0000_seed_2312883878506865772,9,Baseline,50,100.0,45.25,12.04,0.580,0.161,277,106
map_0000_seed_2312883878506865772,9,GoalBias,50,100.0,39.95,11.06,0.526,0.176,249,102
map_0000_seed_2312883878506865772,9,GoalBias+Tangent,50,100.0,46.41,11.32,0.464,0.150,248,113
