config,trial,success,path_length,planning_time,num_nodes,num_iterations
Baseline,1,True,32.50467913598663,0.35325193405151367,294,45
Baseline,2,True,37.0078683799847,0.33544087409973145,280,36
Baseline,3,True,34.27299610082579,0.3826627731323242,299,53
Baseline,4,True,36.4188182978695,0.36054182052612305,299,51
Baseline,5,True,29.03604500408995,0.35895419120788574,311,82
Baseline,6,True,47.5292207877813,0.3682839870452881,299,58
Baseline,7,True,40.57548815784665,0.8199410438537598,481,336
Baseline,8,True,48.44151992024248,0.3318448066711426,270,30
Baseline,9,True,35.42538385339309,0.341655969619751,293,43
Baseline,10,True,32.45846542486635,0.3392360210418701,280,50
Baseline,11,True,47.951662019035,0.41887402534484863,334,104
Baseline,12,True,34.58065496300819,0.3854389190673828,321,84
Baseline,13,True,41.61178734382142,0.28577733039855957,256,24
Baseline,14,True,40.27789449862942,0.37627720832824707,292,55
Baseline,15,True,39.521705350252724,0.37828993797302246,293,54
Baseline,16,True,37.7475337241281,0.34244680404663086,301,82
Baseline,17,True,41.30494714524342,0.3646881580352783,301,61
Baseline,18,True,42.63492832957079,0.3941338062286377,293,59
Baseline,19,True,38.46846952147029,0.5289080142974854,335,144
Baseline,20,True,32.58986813204161,0.27999210357666016,261,29
Baseline,21,True,28.40577886867611,0.31755876541137695,256,27
Baseline,22,True,41.73502604184035,0.4074997901916504,304,65
Baseline,23,True,52.071622513234175,0.4051482677459717,319,125
Baseline,24,True,39.76431220364525,0.3690009117126465,296,81
Baseline,25,True,36.53513930545461,0.32541608810424805,285,55
Baseline,26,True,40.423225693276834,0.3178839683532715,282,43
Baseline,27,True,27.967319769805858,0.30208683013916016,270,43
Baseline,28,True,43.925468672723134,0.41269588470458984,310,72
Baseline,29,True,38.030270488008696,0.33333492279052734,293,61
Baseline,30,True,43.21221991489929,0.31731200218200684,286,58
Baseline,31,True,40.11808373889245,0.3362998962402344,296,58
Baseline,32,True,29.69308880595527,0.37499475479125977,288,71
Baseline,33,True,38.56669389357801,0.3034241199493408,272,35
Baseline,34,True,32.952194417334766,0.3302650451660156,288,40
Baseline,35,True,44.868264970921906,0.3264939785003662,292,61
Baseline,36,True,31.31209376492149,0.295971155166626,268,26
Baseline,37,True,36.00844247898054,0.4491591453552246,349,131
Baseline,38,True,43.52784251621911,0.40037012100219727,313,86
Baseline,39,True,42.19208083731037,0.4456818103790283,328,96
Baseline,40,True,43.630775218561425,0.30699682235717773,265,38
Baseline,41,True,39.43160792330913,0.3201632499694824,260,31
Baseline,42,True,43.47649090142272,0.3671760559082031,309,61
Baseline,43,True,43.90279477171073,0.33356213569641113,292,50
Baseline,44,True,36.929072169482524,0.43840813636779785,287,49
Baseline,45,True,43.102029913928064,0.4337649345397949,299,68
Baseline,46,True,40.18744750357876,0.38239002227783203,310,84
Baseline,47,True,31.888125954654743,0.3178980350494385,293,58
Baseline,48,True,49.142913009992945,0.3492870330810547,294,73
Baseline,49,True,39.63217471341772,0.32096385955810547,275,31
Baseline,50,True,40.29593132453252,0.33801698684692383,287,55
GoalBias,1,True,41.17935435700485,0.2921791076660156,255,28
GoalBias,2,True,37.020832616882466,0.3037099838256836,234,30
GoalBias,3,True,39.75691763829795,0.4270141124725342,270,28
GoalBias,4,True,39.375437707654555,0.2391040325164795,236,35
GoalBias,5,True,42.62835027792538,0.4138219356536865,266,80
GoalBias,6,True,32.60431103379579,0.5116949081420898,263,28
GoalBias,7,True,35.7022195948578,0.25429677963256836,229,28
GoalBias,8,True,32.16513569281669,0.24506378173828125,230,72
GoalBias,9,True,30.539775417073614,0.6231582164764404,267,16
GoalBias,10,True,35.88398653324505,0.6247458457946777,281,35
GoalBias,11,True,35.59197633995484,0.2944908142089844,272,30
GoalBias,12,True,34.33112605850507,0.41367602348327637,285,39
GoalBias,13,True,29.567085778846263,0.20156002044677734,202,20
GoalBias,14,True,35.40611089466946,0.2738528251647949,282,43
GoalBias,15,True,43.631183332198376,0.20067501068115234,210,20
GoalBias,16,True,37.41458626669446,0.2322988510131836,221,28
GoalBias,17,True,30.760058062081324,0.24480414390563965,228,22
GoalBias,18,True,34.992939749973836,0.35217714309692383,247,46
GoalBias,19,True,39.20846206402244,0.2513902187347412,233,32
GoalBias,20,True,29.31816896670292,0.38518500328063965,263,32
GoalBias,21,True,35.957478746950315,0.21218204498291016,222,20
GoalBias,22,True,39.03779781400936,0.32372212409973145,280,36
GoalBias,23,True,35.01933447498527,0.2264869213104248,225,23
GoalBias,24,True,34.391413045288594,0.6203548908233643,270,30
GoalBias,25,True,37.53119937545432,0.22757387161254883,233,25
GoalBias,26,True,36.47955878460306,0.21525931358337402,217,30
GoalBias,27,True,30.032504008720483,0.22411608695983887,242,48
GoalBias,28,True,39.111591343808016,0.24340605735778809,220,26
GoalBias,29,True,34.03072247308238,0.30028486251831055,277,19
GoalBias,30,True,36.124203151034685,0.36060214042663574,283,52
GoalBias,31,True,33.3424088536523,0.2543952465057373,240,33
GoalBias,32,True,37.6777324039444,0.34081101417541504,284,23
GoalBias,33,True,37.68348224816073,0.21377110481262207,215,18
GoalBias,34,True,38.51833998669707,0.3594937324523926,254,28
GoalBias,35,True,31.75215445136884,0.2257518768310547,215,19
GoalBias,36,True,34.35929525223627,0.24961113929748535,256,16
GoalBias,37,True,37.28595106599419,0.25687503814697266,229,19
GoalBias,38,True,35.32180467188074,0.20765113830566406,214,41
GoalBias,39,True,34.23547133572397,0.33241820335388184,268,10
GoalBias,40,True,42.525186655010884,0.312237024307251,242,35
GoalBias,41,True,40.82558055026472,0.2525019645690918,231,27
GoalBias,42,True,37.498658339391824,0.2240750789642334,233,24
GoalBias,43,True,38.20474045638232,0.2640047073364258,247,37
GoalBias,44,True,33.54567139503866,0.5215930938720703,271,27
GoalBias,45,True,32.98741166845073,0.509972095489502,274,19
GoalBias,46,True,38.76672302983431,0.2724912166595459,255,91
GoalBias,47,True,40.70809996239081,0.3048088550567627,264,61
GoalBias,48,True,33.245528846861596,0.1939239501953125,199,20
GoalBias,49,True,34.794102214273785,0.3331782817840576,286,24
GoalBias,50,True,36.73044448068982,0.26523780822753906,261,34
GoalBias+Tangent,1,True,42.89133177152951,0.27955102920532227,267,28
GoalBias+Tangent,2,True,39.27237777671952,0.2910728454589844,247,30
GoalBias+Tangent,3,True,51.71298485244954,0.2582569122314453,263,28
GoalBias+Tangent,4,True,44.55824815315244,0.37908482551574707,272,35
GoalBias+Tangent,5,True,61.837271992421684,0.31551170349121094,273,80
GoalBias+Tangent,6,True,38.3359731805187,0.22712397575378418,232,28
