config,trial,success,path_length,planning_time,num_nodes,num_iterations
Baseline,1,True,35.84892871154957,0.32791924476623535,295,61
Baseline,2,True,39.67377172077204,0.4436211585998535,337,94
Baseline,3,True,39.54714083584973,0.32466888427734375,279,58
Baseline,4,True,40.014663621341604,0.3012659549713135,261,40
Baseline,5,True,29.66363549956626,0.3434920310974121,301,53
Baseline,6,True,38.09481631236724,0.4085531234741211,293,55
Baseline,7,True,53.77018411675374,0.4167490005493164,318,82
Baseline,8,True,37.488861671243754,0.35436129570007324,290,30
Baseline,9,True,42.18267855850421,0.3153343200683594,275,17
Baseline,10,True,39.86272159415101,0.31547999382019043,279,38
Baseline,11,True,34.14477159753801,0.32468509674072266,283,31
Baseline,12,True,33.62278045154178,0.3326761722564697,290,48
Baseline,13,True,36.93170048879513,0.3334629535675049,289,49
Baseline,14,True,43.1360571558698,0.3190121650695801,278,46
Baseline,15,True,41.57256578850158,0.38028907775878906,305,54
Baseline,16,True,35.23433294860869,0.3755979537963867,302,44
Baseline,17,True,35.62024017596181,0.32919979095458984,279,38
Baseline,18,True,43.11584756832408,0.3413717746734619,282,50
Baseline,19,True,25.707635108355653,0.3372228145599365,290,54
Baseline,20,True,38.13496041219681,0.34840869903564453,285,44
Baseline,21,True,32.93096851602063,0.2996089458465576,270,25
Baseline,22,True,51.09720993212252,0.42569398880004883,312,74
Baseline,23,True,39.10449892134694,0.4591710567474365,295,32
Baseline,24,True,32.027996463476036,0.3485839366912842,284,24
Baseline,25,True,33.329974008147616,0.371293306350708,306,76
Baseline,26,True,35.11488091449685,0.2987689971923828,274,25
Baseline,27,True,32.92398898784914,0.311633825302124,275,23
Baseline,28,True,33.744375687743386,0.3141489028930664,276,20
Baseline,29,True,37.618923143019984,0.4175281524658203,309,73
Baseline,30,True,32.09310558046589,0.3595149517059326,299,55
Baseline,31,True,41.68223154935282,0.35448288917541504,302,62
Baseline,32,True,41.97961579319648,0.35927605628967285,292,55
Baseline,33,True,27.752919993804063,0.32163310050964355,286,29
Baseline,34,True,38.32779905198204,0.3257007598876953,272,40
Baseline,35,True,40.335699943602826,0.3710048198699951,294,42
Baseline,36,True,29.89372540995072,0.3217301368713379,283,26
